ID,StartDate,StartTime,EndDate,EndTime,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year,Age,Age group,Weekday,Start station to end station
1512596,28/02/2017,19:26,2/28/2017,19:35,518,N 11 St & Wythe Ave,Bushwick Ave & Powers St,Subscriber,Male,1983,39,30-39,Tuesday,N 11 St & Wythe Ave to Bushwick Ave & Powers St
187466,11/01/2017,11:30,1/11/2017,11:35,285,E 17 St & Broadway,W 17 St & 8 Ave,Subscriber,Male,1972,50,50-59,Wednesday,E 17 St & Broadway to W 17 St & 8 Ave
2195658,29/03/2017,20:19,3/29/2017,20:24,263,State St & Smith St,Johnson St & Gold St,Subscriber,Male,1982,40,40-49,Wednesday,State St & Smith St to Johnson St & Gold St
6388534,23/06/2017,21:21,6/23/2017,21:30,525,E 2 St & Avenue C,E 11 St & 2 Ave,Subscriber,Female,1997,25,20-29,Friday,E 2 St & Avenue C to E 11 St & 2 Ave
4733837,24/05/2017,8:53,5/24/2017,9:04,658,Central Park West & W 76 St,E 72 St & York Ave,Subscriber,Male,1979,43,40-49,Wednesday,Central Park West & W 76 St to E 72 St & York Ave
5857,01/01/2017,13:32,1/1/2017,13:49,1038,W 22 St & 8 Ave,W 45 St & 6 Ave,Non_Subscriber,Male,1981,41,40-49,Sunday,W 22 St & 8 Ave to W 45 St & 6 Ave
1132766,18/02/2017,13:29,2/18/2017,13:30,82,E 71 St & 1 Ave,1 Ave & E 68 St,Subscriber,Male,1983,39,30-39,Saturday,E 71 St & 1 Ave to 1 Ave & E 68 St
3358474,27/04/2017,9:44,4/27/2017,9:48,204,University Pl & E 14 St,Washington Pl & Broadway,Subscriber,Male,1988,34,30-39,Thursday,University Pl & E 14 St to Washington Pl & Broadway
1778858,09/03/2017,11:15,3/9/2017,11:29,803,E 25 St & 2 Ave,Suffolk St & Stanton St,Subscriber,Female,1978,44,40-49,Thursday,E 25 St & 2 Ave to Suffolk St & Stanton St
2497952,08/04/2017,13:39,4/8/2017,14:04,1476,Dean St & Hoyt St,Plaza St West & Flatbush Ave,Non_Subscriber,Male,1981,41,40-49,Saturday,Dean St & Hoyt St to Plaza St West & Flatbush Ave
2905932,16/04/2017,17:36,4/16/2017,18:02,1605,Allen St & Stanton St,Mott St & Prince St,Subscriber,Male,1983,39,30-39,Sunday,Allen St & Stanton St to Mott St & Prince St
3123311,21/04/2017,9:41,4/21/2017,9:48,441,Lexington Ave & E 63 St,1 Ave & E 68 St,Subscriber,Female,1965,57,50-59,Friday,Lexington Ave & E 63 St to 1 Ave & E 68 St
2959550,17/04/2017,18:27,4/17/2017,18:56,1750,NYCBS Depot - SSP,Columbia St & Degraw St,Subscriber,Male,1975,47,40-49,Monday,NYCBS Depot - SSP to Columbia St & Degraw St
2067887,25/03/2017,12:02,3/25/2017,12:08,393,W 26 St & 8 Ave,W 38 St & 8 Ave,Subscriber,Female,1960,62,60-69,Saturday,W 26 St & 8 Ave to W 38 St & 8 Ave
3518426,29/04/2017,23:58,4/30/2017,0:02,215,Great Jones St,Mott St & Prince St,Subscriber,Male,1986,36,30-39,Saturday,Great Jones St to Mott St & Prince St
5383277,06/06/2017,11:23,6/6/2017,11:26,205,W 43 St & 10 Ave,9 Ave & W 45 St,Subscriber,Male,1951,71,70-79,Tuesday,W 43 St & 10 Ave to 9 Ave & W 45 St
3146215,21/04/2017,18:09,4/21/2017,18:14,294,Grand St & Elizabeth St,Grand St & Greene St,Subscriber,Female,1995,27,20-29,Friday,Grand St & Elizabeth St to Grand St & Greene St
2018488,23/03/2017,18:35,3/23/2017,18:50,920,W 20 St & 11 Ave,St Marks Pl & 2 Ave,Subscriber,Male,1951,71,70-79,Thursday,W 20 St & 11 Ave to St Marks Pl & 2 Ave
3676202,02/05/2017,21:43,5/2/2017,22:29,2746,Old Fulton St,Broadway & E 14 St,Non_Subscriber,Male,1981,41,40-49,Tuesday,Old Fulton St to Broadway & E 14 St
1389460,25/02/2017,10:58,2/25/2017,11:03,298,Allen St & Hester St,Rivington St & Chrystie St,Subscriber,Male,1986,36,30-39,Saturday,Allen St & Hester St to Rivington St & Chrystie St
6321417,22/06/2017,18:52,6/22/2017,19:15,1388,E 55 St & 3 Ave,Milton St & Franklin St,Subscriber,Male,1988,34,30-39,Thursday,E 55 St & 3 Ave to Milton St & Franklin St
936709,08/02/2017,12:06,2/8/2017,12:08,111,8 Ave & W 52 St,W 54 St & 9 Ave,Subscriber,Male,1975,47,40-49,Wednesday,8 Ave & W 52 St to W 54 St & 9 Ave
1975396,22/03/2017,8:56,3/22/2017,9:07,630,Broadway & W 29 St,E 17 St & Broadway,Non_Subscriber,Male,1981,41,40-49,Wednesday,Broadway & W 29 St to E 17 St & Broadway
642530,28/01/2017,16:32,1/28/2017,16:53,1284,Cathedral Pkwy & Broadway,Central Park S & 6 Ave,Subscriber,Male,1974,48,40-49,Saturday,Cathedral Pkwy & Broadway to Central Park S & 6 Ave
5630375,10/06/2017,14:03,6/10/2017,14:05,76,Bayard St & Baxter St,Bayard St & Baxter St,Non_Subscriber,Male,1981,41,40-49,Saturday,Bayard St & Baxter St to Bayard St & Baxter St
5481113,08/06/2017,7:25,6/8/2017,7:31,328,Driggs Ave & N Henry St,N 8 St & Driggs Ave,Subscriber,Female,1986,36,30-39,Thursday,Driggs Ave & N Henry St to N 8 St & Driggs Ave
3873453,07/05/2017,10:50,5/7/2017,10:56,382,Perry St & Bleecker St,8 Ave & W 31 St,Subscriber,Male,1993,29,20-29,Sunday,Perry St & Bleecker St to 8 Ave & W 31 St
2567503,10/04/2017,7:32,4/10/2017,7:41,526,Broadway & E 22 St,Pershing Square South,Subscriber,Male,1974,48,40-49,Monday,Broadway & E 22 St to Pershing Square South
6432811,24/06/2017,19:13,6/24/2017,19:18,308,Carmine St & 6 Ave,W 13 St & 7 Ave,Subscriber,Male,1987,35,30-39,Saturday,Carmine St & 6 Ave to W 13 St & 7 Ave
1909858,20/03/2017,9:08,3/20/2017,9:13,314,Fulton St & Clermont Ave,Hanson Pl & Ashland Pl,Subscriber,Male,1968,54,50-59,Monday,Fulton St & Clermont Ave to Hanson Pl & Ashland Pl
4989575,30/05/2017,10:12,5/30/2017,10:26,854,W 26 St & 8 Ave,Greenwich St & W Houston St,Subscriber,Male,1985,37,30-39,Tuesday,W 26 St & 8 Ave to Greenwich St & W Houston St
4485367,19/05/2017,8:51,5/19/2017,8:58,433,Broadway & W 56 St,E 47 St & Park Ave,Subscriber,Male,1979,43,40-49,Friday,Broadway & W 56 St to E 47 St & Park Ave
6686290,28/06/2017,20:29,6/28/2017,20:40,603,8 Ave & W 16 St,W 38 St & 8 Ave,Subscriber,Male,1987,35,30-39,Wednesday,8 Ave & W 16 St to W 38 St & 8 Ave
6398149,24/06/2017,11:07,6/24/2017,11:13,351,University Pl & E 14 St,W 13 St & Hudson St,Subscriber,Male,1976,46,40-49,Saturday,University Pl & E 14 St to W 13 St & Hudson St
2964832,17/04/2017,19:27,4/17/2017,19:41,816,W 84 St & Columbus Ave,W 104 St & Amsterdam Ave,Subscriber,Female,1990,32,30-39,Monday,W 84 St & Columbus Ave to W 104 St & Amsterdam Ave
5334757,05/06/2017,12:23,6/5/2017,12:29,368,E 53 St & Madison Ave,E 58 St & 1 Ave,Subscriber,Male,1990,32,30-39,Monday,E 53 St & Madison Ave to E 58 St & 1 Ave
574675,26/01/2017,12:40,1/26/2017,13:06,1574,W 43 St & 6 Ave,Carmine St & 6 Ave,Subscriber,Male,1954,68,60-69,Thursday,W 43 St & 6 Ave to Carmine St & 6 Ave
5981682,16/06/2017,13:15,6/16/2017,13:20,324,Broadway & W 36 St,E 41 St & Madison Ave,Subscriber,Male,1992,30,30-39,Friday,Broadway & W 36 St to E 41 St & Madison Ave
2897347,16/04/2017,15:23,4/16/2017,15:44,1233,Cleveland Pl & Spring St,S 5 Pl & S 4 St,Non_Subscriber,Male,1981,41,40-49,Sunday,Cleveland Pl & Spring St to S 5 Pl & S 4 St
3582305,01/05/2017,13:31,5/1/2017,13:46,881,E 45 St & 3 Ave,W 34 St & 11 Ave,Subscriber,Male,1972,50,50-59,Monday,E 45 St & 3 Ave to W 34 St & 11 Ave
1507415,28/02/2017,18:03,2/28/2017,18:10,418,Columbus Ave & W 103 St,W 106 St & Central Park West,Subscriber,Male,1990,32,30-39,Tuesday,Columbus Ave & W 103 St to W 106 St & Central Park West
5448406,07/06/2017,16:35,6/7/2017,16:58,1356,E 39 St & 3 Ave,Central Park North & Adam Clayton Powell Blvd,Subscriber,Male,1968,54,50-59,Wednesday,E 39 St & 3 Ave to Central Park North & Adam Clayton Powell Blvd
4580791,20/05/2017,21:12,5/20/2017,21:27,852,Vesey Pl & River Terrace,Mercer St & Spring St,Subscriber,Male,1994,28,20-29,Saturday,Vesey Pl & River Terrace to Mercer St & Spring St
5515649,08/06/2017,17:07,6/8/2017,17:21,862,E 39 St & 2 Ave,E 20 St & FDR Drive,Subscriber,Female,1974,48,40-49,Thursday,E 39 St & 2 Ave to E 20 St & FDR Drive
4885759,27/05/2017,16:41,5/27/2017,16:58,1027,Washington St & Gansevoort St,West St & Chambers St,Non_Subscriber,Male,1994,28,20-29,Saturday,Washington St & Gansevoort St to West St & Chambers St
4025507,10/05/2017,10:20,5/10/2017,10:53,2005,E 85 St & 3 Ave,Spruce St & Nassau St,Subscriber,Male,1973,49,40-49,Wednesday,E 85 St & 3 Ave to Spruce St & Nassau St
3847598,06/05/2017,15:58,5/6/2017,16:31,1997,Front St & Maiden Ln,Old Fulton St,Non_Subscriber,Male,1981,41,40-49,Saturday,Front St & Maiden Ln to Old Fulton St
4586817,21/05/2017,8:24,5/21/2017,8:36,723,Avenue D & E 12 St,E 15 St & 3 Ave,Subscriber,Male,1981,41,40-49,Sunday,Avenue D & E 12 St to E 15 St & 3 Ave
3303809,25/04/2017,15:02,4/25/2017,15:18,966,Greenwich St & W Houston St,9 Ave & W 28 St,Subscriber,Female,1980,42,40-49,Tuesday,Greenwich St & W Houston St to 9 Ave & W 28 St
6722387,29/06/2017,14:29,6/29/2017,15:01,1927,W 78 St & Broadway,W 63 St & Broadway,Subscriber,Female,1971,51,50-59,Thursday,W 78 St & Broadway to W 63 St & Broadway
4731489,24/05/2017,8:32,5/24/2017,9:07,2101,Central Park S & 6 Ave,Central Park S & 6 Ave,Subscriber,Male,1966,56,50-59,Wednesday,Central Park S & 6 Ave to Central Park S & 6 Ave
6018157,17/06/2017,8:06,6/17/2017,8:35,1727,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,Non_Subscriber,Male,1981,41,40-49,Saturday,Pier 40 - Hudson River Park to Pier 40 - Hudson River Park
4079228,11/05/2017,9:03,5/11/2017,9:08,338,W 84 St & Broadway,Columbus Ave & W 72 St,Subscriber,Female,1992,30,30-39,Thursday,W 84 St & Broadway to Columbus Ave & W 72 St
87348,05/01/2017,14:30,1/5/2017,14:42,700,E 17 St & Broadway,Avenue D & E 3 St,Subscriber,Male,1986,36,30-39,Thursday,E 17 St & Broadway to Avenue D & E 3 St
2184051,29/03/2017,17:23,3/29/2017,17:40,997,Central Park S & 6 Ave,E 88 St & 1 Ave,Subscriber,Male,1988,34,30-39,Wednesday,Central Park S & 6 Ave to E 88 St & 1 Ave
2855148,15/04/2017,16:12,4/15/2017,16:14,103,Allen St & Rivington St,Stanton St & Chrystie St,Subscriber,Female,1956,66,60-69,Saturday,Allen St & Rivington St to Stanton St & Chrystie St
1675078,06/03/2017,16:02,3/6/2017,16:24,1339,E 59 St & Madison Ave,W 14 St & The High Line,Subscriber,Male,1963,59,50-59,Monday,E 59 St & Madison Ave to W 14 St & The High Line
338034,17/01/2017,6:43,1/17/2017,6:51,519,Pershing Square South,E 25 St & 2 Ave,Subscriber,Female,1990,32,30-39,Tuesday,Pershing Square South to E 25 St & 2 Ave
445709,20/01/2017,19:01,1/20/2017,19:06,330,Stanton St & Chrystie St,MacDougal St & Prince St,Subscriber,Male,1983,39,30-39,Friday,Stanton St & Chrystie St to MacDougal St & Prince St
3828509,06/05/2017,11:17,5/6/2017,11:23,360,E 15 St & 3 Ave,E 14 St & Avenue B,Subscriber,Male,1989,33,30-39,Saturday,E 15 St & 3 Ave to E 14 St & Avenue B
5931878,15/06/2017,16:52,6/15/2017,16:58,394,Front St & Washington St,Clark St & Henry St,Subscriber,Male,1980,42,40-49,Thursday,Front St & Washington St to Clark St & Henry St
3252725,24/04/2017,9:49,4/24/2017,9:57,436,Broadway & W 51 St,Pershing Square South,Subscriber,Male,1993,29,20-29,Monday,Broadway & W 51 St to Pershing Square South
4263930,15/05/2017,18:09,5/15/2017,18:28,1165,Duane St & Greenwich St,W 16 St & The High Line,Subscriber,Female,1977,45,40-49,Monday,Duane St & Greenwich St to W 16 St & The High Line
4327895,16/05/2017,18:22,5/16/2017,18:30,494,Leonard St & Maujer St,Myrtle Ave & Lewis Ave,Subscriber,Male,1973,49,40-49,Tuesday,Leonard St & Maujer St to Myrtle Ave & Lewis Ave
4500991,19/05/2017,13:50,5/19/2017,14:02,692,Centre St & Chambers St,Centre St & Chambers St,Non_Subscriber,Male,1981,41,40-49,Friday,Centre St & Chambers St to Centre St & Chambers St
2004051,23/03/2017,10:19,3/23/2017,10:28,524,1 Ave & E 16 St,E 16 St & 5 Ave,Subscriber,Male,1984,38,30-39,Thursday,1 Ave & E 16 St to E 16 St & 5 Ave
1377740,24/02/2017,19:50,2/24/2017,20:16,1551,Reade St & Broadway,E 10 St & Avenue A,Subscriber,Male,1991,31,30-39,Friday,Reade St & Broadway to E 10 St & Avenue A
6738778,29/06/2017,18:06,6/29/2017,18:10,263,E 16 St & 5 Ave,Greenwich Ave & 8 Ave,Subscriber,Male,1984,38,30-39,Thursday,E 16 St & 5 Ave to Greenwich Ave & 8 Ave
3479649,29/04/2017,13:01,4/29/2017,13:06,292,Barclay St & Church St,South End Ave & Liberty St,Subscriber,Male,1980,42,40-49,Saturday,Barclay St & Church St to South End Ave & Liberty St
6067227,18/06/2017,13:36,6/18/2017,14:10,2048,E 33 St & 2 Ave,Cherry St,Subscriber,Male,1942,80,80-89,Sunday,E 33 St & 2 Ave to Cherry St
5888144,14/06/2017,20:52,6/14/2017,21:08,930,Broadway & Roebling St,Milton St & Franklin St,Subscriber,Female,1989,33,30-39,Wednesday,Broadway & Roebling St to Milton St & Franklin St
2491986,08/04/2017,11:42,4/8/2017,11:45,202,Adelphi St & Myrtle Ave,DeKalb Ave & S Portland Ave,Subscriber,Male,1990,32,30-39,Saturday,Adelphi St & Myrtle Ave to DeKalb Ave & S Portland Ave
6407126,24/06/2017,13:21,6/24/2017,13:58,2232,Bergen St & Smith St,Bedford Ave & Nassau Ave,Subscriber,Male,1977,45,40-49,Saturday,Bergen St & Smith St to Bedford Ave & Nassau Ave
6392474,24/06/2017,2:40,6/24/2017,2:46,379,11 Ave & W 41 St,8 Ave & W 33 St,Subscriber,Male,1974,48,40-49,Saturday,11 Ave & W 41 St to 8 Ave & W 33 St
4276054,15/05/2017,20:50,5/15/2017,20:56,413,University Pl & E 8 St,E 11 St & 2 Ave,Subscriber,Female,1965,57,50-59,Monday,University Pl & E 8 St to E 11 St & 2 Ave
2759514,13/04/2017,17:42,4/13/2017,17:45,205,Broadway & W 58 St,8 Ave & W 52 St,Subscriber,Male,1981,41,40-49,Thursday,Broadway & W 58 St to 8 Ave & W 52 St
2401586,05/04/2017,12:49,4/5/2017,12:51,137,Broadway & W 58 St,Broadway & W 53 St,Subscriber,Female,1996,26,20-29,Wednesday,Broadway & W 58 St to Broadway & W 53 St
5820513,13/06/2017,19:00,6/13/2017,19:02,153,Barrow St & Hudson St,Greenwich St & W Houston St,Subscriber,Female,1999,23,20-29,Tuesday,Barrow St & Hudson St to Greenwich St & W Houston St
5480048,08/06/2017,7:03,6/8/2017,7:12,560,Forsyth St & Broome St,Carmine St & 6 Ave,Subscriber,Female,1961,61,60-69,Thursday,Forsyth St & Broome St to Carmine St & 6 Ave
1951218,21/03/2017,16:15,3/21/2017,16:23,472,Lafayette St & E 8 St,E 2 St & Avenue C,Subscriber,Female,1996,26,20-29,Tuesday,Lafayette St & E 8 St to E 2 St & Avenue C
3005402,18/04/2017,16:49,4/18/2017,16:54,334,W 45 St & 8 Ave,W 44 St & 5 Ave,Subscriber,Male,1984,38,30-39,Tuesday,W 45 St & 8 Ave to W 44 St & 5 Ave
4212374,14/05/2017,16:38,5/14/2017,16:43,245,Bond St & Bergen St,Dean St & 4 Ave,Subscriber,Male,1984,38,30-39,Sunday,Bond St & Bergen St to Dean St & 4 Ave
2697880,12/04/2017,16:07,4/12/2017,16:33,1573,Mott St & Prince St,E 51 St & 1 Ave,Subscriber,Female,1974,48,40-49,Wednesday,Mott St & Prince St to E 51 St & 1 Ave
4393538,17/05/2017,18:26,5/17/2017,18:35,525,W 92 St & Broadway,W 76 St & Columbus Ave,Subscriber,Male,1948,74,70-79,Wednesday,W 92 St & Broadway to W 76 St & Columbus Ave
3893488,07/05/2017,18:20,5/7/2017,18:42,1349,8 Ave & W 52 St,5 Ave & E 88 St,Subscriber,Male,1990,32,30-39,Sunday,8 Ave & W 52 St to 5 Ave & E 88 St
1811390,10/03/2017,8:27,3/10/2017,8:32,253,E 24 St & Park Ave S,Broadway & E 14 St,Subscriber,Male,1973,49,40-49,Friday,E 24 St & Park Ave S to Broadway & E 14 St
389272,19/01/2017,7:34,1/19/2017,7:42,444,Broadway & W 36 St,W 52 St & 6 Ave,Subscriber,Male,1979,43,40-49,Thursday,Broadway & W 36 St to W 52 St & 6 Ave
4666273,23/05/2017,6:59,5/23/2017,7:22,1416,Central Park West & W 102 St,E 48 St & 5 Ave,Subscriber,Female,1957,65,60-69,Tuesday,Central Park West & W 102 St to E 48 St & 5 Ave
3241064,24/04/2017,6:31,4/24/2017,6:56,1488,W 42 St & Dyer Ave,Liberty St & Broadway,Subscriber,Male,1962,60,60-69,Monday,W 42 St & Dyer Ave to Liberty St & Broadway
4287006,16/05/2017,8:03,5/16/2017,8:37,2048,Clinton St & Joralemon St,E 47 St & 2 Ave,Subscriber,Male,1971,51,50-59,Tuesday,Clinton St & Joralemon St to E 47 St & 2 Ave
2971954,17/04/2017,23:11,4/17/2017,23:16,272,University Pl & E 8 St,E 15 St & 3 Ave,Subscriber,Male,1992,30,30-39,Monday,University Pl & E 8 St to E 15 St & 3 Ave
5902394,15/06/2017,8:17,6/15/2017,8:26,593,Cooper Square & E 7 St,8 Ave & W 16 St,Subscriber,Male,1990,32,30-39,Thursday,Cooper Square & E 7 St to 8 Ave & W 16 St
3079483,20/04/2017,10:00,4/20/2017,10:21,1203,Broadway & W 24 St,W 52 St & 5 Ave,Subscriber,Male,1960,62,60-69,Thursday,Broadway & W 24 St to W 52 St & 5 Ave
6356851,23/06/2017,12:01,6/23/2017,12:40,2341,Central Park S & 6 Ave,9 Ave & W 22 St,Non_Subscriber,Male,1981,41,40-49,Friday,Central Park S & 6 Ave to 9 Ave & W 22 St
6437349,24/06/2017,20:40,6/24/2017,21:05,1484,Clinton St & Grand St,Forsyth St & Broome St,Subscriber,Male,1979,43,40-49,Saturday,Clinton St & Grand St to Forsyth St & Broome St
4015168,10/05/2017,8:08,5/10/2017,8:24,956,W 13 St & Hudson St,Vesey Pl & River Terrace,Subscriber,Male,1959,63,60-69,Wednesday,W 13 St & Hudson St to Vesey Pl & River Terrace
6417471,24/06/2017,15:38,6/24/2017,15:44,362,Cherry St,Allen St & Hester St,Subscriber,Female,1966,56,50-59,Saturday,Cherry St to Allen St & Hester St
6158567,20/06/2017,12:06,6/20/2017,12:17,635,E 31 St & 3 Ave,W 38 St & 8 Ave,Subscriber,Male,1991,31,30-39,Tuesday,E 31 St & 3 Ave to W 38 St & 8 Ave
4742346,24/05/2017,11:32,5/24/2017,11:42,607,1 Ave & E 68 St,2 Ave & E 96 St,Subscriber,Male,1967,55,50-59,Wednesday,1 Ave & E 68 St to 2 Ave & E 96 St
1214745,20/02/2017,17:42,2/20/2017,18:13,1852,Bus Slip & State St,Bus Slip & State St,Non_Subscriber,Male,1981,41,40-49,Monday,Bus Slip & State St to Bus Slip & State St
3071010,19/04/2017,22:35,4/19/2017,22:56,1242,E 6 St & Avenue B,8 Ave & W 31 St,Non_Subscriber,Male,1996,26,20-29,Wednesday,E 6 St & Avenue B to 8 Ave & W 31 St
2767253,13/04/2017,19:04,4/13/2017,19:21,997,Duane St & Greenwich St,W 22 St & 10 Ave,Subscriber,Male,1979,43,40-49,Thursday,Duane St & Greenwich St to W 22 St & 10 Ave
1873353,13/03/2017,17:35,3/13/2017,17:56,1278,W Broadway & Spring St,11 Ave & W 27 St,Subscriber,Male,1977,45,40-49,Monday,W Broadway & Spring St to 11 Ave & W 27 St
6335267,22/06/2017,23:18,6/22/2017,23:42,1443,Greenwich Ave & 8 Ave,E 23 St & 1 Ave,Subscriber,Female,1996,26,20-29,Thursday,Greenwich Ave & 8 Ave to E 23 St & 1 Ave
4824502,26/05/2017,14:03,5/26/2017,14:24,1276,Kent Ave & N 7 St,N 6 St & Bedford Ave,Non_Subscriber,Male,1981,41,40-49,Friday,Kent Ave & N 7 St to N 6 St & Bedford Ave
5213563,02/06/2017,20:34,6/2/2017,20:39,273,University Pl & E 8 St,W 4 St & 7 Ave S,Subscriber,Male,1985,37,30-39,Friday,University Pl & E 8 St to W 4 St & 7 Ave S
1578361,02/03/2017,15:21,3/2/2017,15:25,209,Sands St & Navy St,York St & Jay St,Subscriber,Male,1983,39,30-39,Thursday,Sands St & Navy St to York St & Jay St
378557,18/01/2017,18:24,1/18/2017,18:46,1325,Rivington St & Ridge St,Montrose Ave & Bushwick Ave,Subscriber,Female,1986,36,30-39,Wednesday,Rivington St & Ridge St to Montrose Ave & Bushwick Ave
1759669,08/03/2017,20:42,3/8/2017,20:44,156,E 91 St & Park Ave,E 88 St & Park Ave,Subscriber,Male,1987,35,30-39,Wednesday,E 91 St & Park Ave to E 88 St & Park Ave
2792598,14/04/2017,12:17,4/14/2017,12:37,1232,6 Ave & Canal St,Little West St & 1 Pl,Non_Subscriber,Male,1981,41,40-49,Friday,6 Ave & Canal St to Little West St & 1 Pl
3006257,18/04/2017,17:01,4/18/2017,17:17,912,Reade St & Broadway,South End Ave & Liberty St,Non_Subscriber,Male,1981,41,40-49,Tuesday,Reade St & Broadway to South End Ave & Liberty St
2561325,09/04/2017,20:20,4/9/2017,20:30,588,2 Ave & E 31 St,E 17 St & Broadway,Subscriber,Male,1993,29,20-29,Sunday,2 Ave & E 31 St to E 17 St & Broadway
842093,04/02/2017,18:43,2/4/2017,18:50,455,W 56 St & 10 Ave,Broadway & W 49 St,Subscriber,Male,1974,48,40-49,Saturday,W 56 St & 10 Ave to Broadway & W 49 St
5664204,11/06/2017,1:11,6/11/2017,1:42,1913,Henry St & Grand St,Broadway & W 24 St,Subscriber,Male,1981,41,40-49,Sunday,Henry St & Grand St to Broadway & W 24 St
3789757,04/05/2017,20:01,5/4/2017,20:36,2101,E 51 St & 1 Ave,Maiden Ln & Pearl St,Subscriber,Male,1990,32,30-39,Thursday,E 51 St & 1 Ave to Maiden Ln & Pearl St
5351922,05/06/2017,17:36,6/5/2017,18:06,1754,South St & Gouverneur Ln,Richards St & Delavan St,Subscriber,Male,1987,35,30-39,Monday,South St & Gouverneur Ln to Richards St & Delavan St
4776884,24/05/2017,19:56,5/24/2017,20:26,1792,Christopher St & Greenwich St,Amsterdam Ave & W 79 St,Subscriber,Male,1963,59,50-59,Wednesday,Christopher St & Greenwich St to Amsterdam Ave & W 79 St
6224775,21/06/2017,11:46,6/21/2017,12:00,859,W 43 St & 6 Ave,W 53 St & 10 Ave,Subscriber,Female,1960,62,60-69,Wednesday,W 43 St & 6 Ave to W 53 St & 10 Ave
6413999,24/06/2017,14:52,6/24/2017,14:58,325,E 32 St & Park Ave,E 17 St & Broadway,Subscriber,Male,1989,33,30-39,Saturday,E 32 St & Park Ave to E 17 St & Broadway
3028133,19/04/2017,6:49,4/19/2017,6:53,198,West St & Chambers St,Centre St & Chambers St,Subscriber,Male,1980,42,40-49,Wednesday,West St & Chambers St to Centre St & Chambers St
3229794,23/04/2017,18:02,4/23/2017,18:16,835,Central Park West & W 102 St,Central Park West & W 72 St,Subscriber,Male,1964,58,50-59,Sunday,Central Park West & W 102 St to Central Park West & W 72 St
1297870,23/02/2017,8:07,2/23/2017,8:16,511,W 49 St & 8 Ave,E 59 St & Madison Ave,Subscriber,Male,1981,41,40-49,Thursday,W 49 St & 8 Ave to E 59 St & Madison Ave
1779232,09/03/2017,11:29,3/9/2017,11:38,569,Columbia St & Rivington St,Division St & Bowery,Subscriber,Male,1993,29,20-29,Thursday,Columbia St & Rivington St to Division St & Bowery
